"title","metascore","criticscore"
"Super Mario 3D All-Stars",82,80
"Iron Harvest",75,60
"Wasteland 3",86,80
"Fall Guys: Ultimate Knockout",80,90
"The Sims 4: Nifty Knitting",63,80
"Paper Mario: The Origami King",79,70
"Ghost of Tsushima",83,90
"Marvel's Iron Man VR",73,60
"Pokemon Sword / Shield: The Isle of Armor",69,70
"The Last of Us Part II",93,100
"The Outer Worlds",66,50
"World War Z Game of the Year Edition",68,60
"Gears Tactics",80,80
"Final Fantasy VII Remake",87,60
"Call of Duty: Warzone",79,90
"MLB The Show 20",83,60
"Afterparty",74,50
"Resident Evil 3",79,80
"DOOM Eternal",88,90
"Animal Crossing: New Horizons",90,80
"Pokemon Mystery Dungeon: Rescue Team DX",68,50
"Warcraft III: Reforged",59,60
"Pascal's Wager",78,70
"Star Wars Jedi: Fallen Order",79,80
"Death Stranding",82,70
"Call of Duty: Modern Warfare",80,80
"Ring Fit Adventure",83,90
"Destiny 2: Shadowkeep",73,70
"Tom Clancy's Ghost Recon: Breakpoint",56,60
