id,weight,sex,feed
1.0,179.0,male,Horsebean
2.0,160.0,male,Horsebean
3.0,136.0,female,Horsebean
4.0,227.0,male,Horsebean
5.0,217.0,female,Horsebean
6.0,168.0,male,Horsebean
7.0,108.0,female,Horsebean
8.0,124.0,female,Horsebean
9.0,143.0,male,Horsebean
10.0,140.0,female,Horsebean
11.0,309.0,male,Linseed
12.0,229.0,female,Linseed
13.0,181.0,female,Linseed
14.0,141.0,female,Linseed
15.0,260.0,female,Linseed
16.0,203.0,male,Linseed
17.0,148.0,female,Linseed
18.0,169.0,male,Linseed
19.0,213.0,male,Linseed
20.0,257.0,male,Linseed
21.0,244.0,male,Linseed
22.0,271.0,male,Linseed
23.0,243.0,female,Soybean
24.0,230.0,male,Soybean
25.0,248.0,male,Soybean
26.0,327.0,male,Soybean
27.0,329.0,male,Soybean
28.0,250.0,female,Soybean
29.0,193.0,female,Soybean
30.0,271.0,female,Soybean
31.0,316.0,male,Soybean
32.0,267.0,female,Soybean
33.0,199.0,male,Soybean
34.0,171.0,female,Soybean
35.0,158.0,female,Soybean
36.0,248.0,male,Soybean
37.0,423.0,male,Sunflower
38.0,340.0,female,Sunflower
39.0,392.0,male,Sunflower
40.0,339.0,male,Sunflower
41.0,341.0,female,Sunflower
42.0,226.0,female,Sunflower
43.0,320.0,male,Sunflower
44.0,295.0,female,Sunflower
45.0,334.0,male,Sunflower
46.0,322.0,male,Sunflower
47.0,297.0,female,Sunflower
48.0,318.0,female,Sunflower
49.0,325.0,male,Meatmeal
50.0,257.0,female,Meatmeal
51.0,303.0,female,Meatmeal
52.0,315.0,female,Meatmeal
53.0,380.0,male,Meatmeal
54.0,153.0,female,Meatmeal
55.0,263.0,male,Meatmeal
56.0,242.0,male,Meatmeal
57.0,206.0,female,Meatmeal
58.0,344.0,male,Meatmeal
59.0,258.0,male,Meatmeal
60.0,368.0,female,Casein
61.0,390.0,male,Casein
62.0,379.0,female,Casein
63.0,260.0,male,Casein
64.0,404.0,male,Casein
65.0,318.0,female,Casein
66.0,352.0,female,Casein
67.0,359.0,male,Casein
68.0,216.0,female,Casein
69.0,222.0,female,Casein
70.0,283.0,male,Casein
71.0,332.0,male,Casein
